block,word,wd_int_syl,tar_syl,wd_status,matching,lemma,first_3,item_type,corrAns
block29,rosepio,CV,CV,nonword,match,ros,ros,critical,1
block29,tidioma,CV,CV,nonword,match,ros,tid,filler01,None
block29,cinsecho,CVC,CV,nonword,mismatch,ros,cin,filler02,None
block29,bimena,CV,CV,nonword,match,ros,bim,filler03,None
block29,lectorio,CVC,CV,nonword,mismatch,ros,lec,filler04,None
block29,denfiña,CVC,CV,nonword,mismatch,ros,den,filler05,None
block29,fimallo,CV,CV,nonword,match,ros,fim,filler06,None
block29,canreza,CVC,CV,nonword,mismatch,ros,can,filler07,None
block29,talfrado,CVC,CV,nonword,mismatch,ros,tal,filler08,None
block29,demonto,CV,CV,nonword,match,ros,dem,filler09,None
block30,rosvailla,CVC,CV,nonword,mismatch,ros,ros,critical,1
block30,tidioma,CV,CV,nonword,match,ros,tid,filler01,None
block30,cinsecho,CVC,CV,nonword,mismatch,ros,cin,filler02,None
block30,bimena,CV,CV,nonword,match,ros,bim,filler03,None
block30,lectorio,CVC,CV,nonword,mismatch,ros,lec,filler04,None
block30,denfiña,CVC,CV,nonword,mismatch,ros,den,filler05,None
block30,fimallo,CV,CV,nonword,match,ros,fim,filler06,None
block30,canreza,CVC,CV,nonword,mismatch,ros,can,filler07,None
block30,naduta,CV,CV,nonword,match,ros,nad,filler08,None
block30,demonto,CV,CV,nonword,match,ros,dem,filler09,None
block31,rosepio,CV,CVC,nonword,mismatch,ros,ros,critical,1
block31,divona,CV,CVC,nonword,mismatch,ros,div,filler01,None
block31,mipcura,CVC,CVC,nonword,match,ros,mip,filler02,None
block31,fivalia,CV,CVC,nonword,mismatch,ros,fiv,filler03,None
block31,baldeblo,CVC,CVC,nonword,match,ros,bal,filler04,None
block31,venetlo,CV,CVC,nonword,mismatch,ros,ven,filler05,None
block31,funclera,CVC,CVC,nonword,match,ros,fun,filler06,None
block31,mifena,CV,CVC,nonword,mismatch,ros,mif,filler07,None
block31,ventoble,CVC,CVC,nonword,match,ros,ven,filler08,None
block31,tenvila,CVC,CVC,nonword,match,ros,ten,filler09,None
block32,rosvailla,CVC,CVC,nonword,match,ros,ros,critical,1
block32,divona,CV,CVC,nonword,mismatch,ros,div,filler01,None
block32,mipcura,CVC,CVC,nonword,match,ros,mip,filler02,None
block32,fivalia,CV,CVC,nonword,mismatch,ros,fiv,filler03,None
block32,baldeblo,CVC,CVC,nonword,match,ros,bal,filler04,None
block32,venetlo,CV,CVC,nonword,mismatch,ros,ven,filler05,None
block32,bitiala,CV,CVC,nonword,mismatch,ros,bit,filler06,None
block32,mifena,CV,CVC,nonword,mismatch,ros,mif,filler07,None
block32,ventoble,CVC,CVC,nonword,match,ros,ven,filler08,None
block32,tenvila,CVC,CVC,nonword,match,ros,ten,filler09,None
block33,camisa,CV,CV,word,match,cam,cam,critical,1
block33,porfía,CVC,CV,word,mismatch,cam,por,filler01,None
block33,rendija,CVC,CV,word,mismatch,cam,ren,filler02,None
block33,soborno,CV,CV,word,match,cam,sob,filler03,None
block33,fondillo,CVC,CV,word,mismatch,cam,fon,filler04,None
block33,felpudo,CVC,CV,word,mismatch,cam,fel,filler05,None
block33,suspenso,CVC,CV,word,mismatch,cam,sus,filler06,None
block33,topacio,CV,CV,word,match,cam,top,filler07,None
block33,ribazo,CV,CV,word,match,cam,rib,filler08,None
block33,pitillo,CV,CV,word,match,cam,pit,filler09,None
block34,camisa,CV,CVC,word,mismatch,cam,cam,critical,1
block34,ponencia,CV,CVC,word,mismatch,cam,pon,filler01,None
block34,sordera,CVC,CVC,word,match,cam,sor,filler02,None
block34,doncella,CVC,CVC,word,match,cam,don,filler03,None
block34,nevera,CV,CVC,word,mismatch,cam,nev,filler04,None
block34,ventisca,CVC,CVC,word,match,cam,ven,filler05,None
block34,pintura,CVC,CVC,word,match,cam,pin,filler06,None
block34,perfidia,CVC,CVC,word,match,cam,per,filler07,None
block34,tijera,CV,CVC,word,mismatch,cam,tij,filler08,None
block34,fogata,CV,CVC,word,mismatch,cam,fog,filler09,None
block35,campana,CVC,CV,word,mismatch,cam,cam,critical,1
block35,porfía,CVC,CV,word,mismatch,cam,por,filler01,None
block35,ternera,CVC,CV,word,mismatch,cam,ter,filler02,None
block35,poniente,CV,CV,word,match,cam,pon,filler03,None
block35,ponencia,CV,CV,word,match,cam,pon,filler04,None
block35,felpudo,CVC,CV,word,mismatch,cam,fel,filler05,None
block35,suspenso,CVC,CV,word,mismatch,cam,sus,filler06,None
block35,topacio,CV,CV,word,match,cam,top,filler07,None
block35,ribazo,CV,CV,word,match,cam,rib,filler08,None
block35,noviazgo,CV,CV,word,match,cam,nov,filler09,None
block36,campana,CVC,CVC,word,match,cam,cam,critical,1
block36,fondillo,CVC,CVC,word,match,cam,fon,filler01,None
block36,sordera,CVC,CVC,word,match,cam,sor,filler02,None
block36,percance,CVC,CVC,word,match,cam,per,filler03,None
block36,rivera,CV,CVC,word,mismatch,cam,riv,filler04,None
block36,pinchazo,CVC,CVC,word,match,cam,pin,filler05,None
block36,renombre,CV,CVC,word,mismatch,cam,ren,filler06,None
block36,regazo,CV,CVC,word,mismatch,cam,reg,filler07,None
block36,regato,CV,CVC,word,mismatch,cam,reg,filler08,None
block36,pureza,CV,CVC,word,mismatch,cam,pur,filler09,None
block37,camofa,CV,CV,nonword,match,cam,cam,critical,1
block37,depite,CV,CV,nonword,match,cam,dep,filler01,None
block37,neteno,CV,CV,nonword,match,cam,net,filler02,None
block37,nenedo,CV,CV,nonword,match,cam,nen,filler03,None
block37,dedioro,CV,CV,nonword,match,cam,ded,filler04,None
block37,sobvondo,CVC,CV,nonword,mismatch,cam,sob,filler05,None
block37,tunruja,CVC,CV,nonword,mismatch,cam,tun,filler06,None
block37,sunsanso,CVC,CV,nonword,mismatch,cam,sun,filler07,None
block37,sutmido,CVC,CV,nonword,mismatch,cam,sut,filler08,None
block37,fuztancia,CVC,CV,nonword,mismatch,cam,fuz,filler09,None
block38,camofa,CV,CVC,nonword,mismatch,cam,cam,critical,1
block38,devillo,CV,CVC,nonword,mismatch,cam,dev,filler01,None
block38,nencida,CVC,CVC,nonword,match,cam,nen,filler02,None
block38,pirijuo,CV,CVC,nonword,mismatch,cam,pir,filler03,None
block38,bercillo,CVC,CVC,nonword,match,cam,ber,filler04,None
block38,penvalla,CVC,CVC,nonword,match,cam,pen,filler05,None
block38,voltura,CVC,CVC,nonword,match,cam,vol,filler06,None
block38,foscillo,CVC,CVC,nonword,match,cam,fos,filler07,None
block38,febago,CV,CVC,nonword,mismatch,cam,feb,filler08,None
block38,lercuente,CVC,CVC,nonword,match,cam,ler,filler09,None
block39,cambena,CVC,CV,nonword,mismatch,cam,cam,critical,1
block39,depite,CV,CV,nonword,match,cam,dep,filler01,None
block39,neteno,CV,CV,nonword,match,cam,net,filler02,None
block39,nenedo,CV,CV,nonword,match,cam,nen,filler03,None
block39,dedioro,CV,CV,nonword,match,cam,ded,filler04,None
block39,sobvondo,CVC,CV,nonword,mismatch,cam,sob,filler05,None
block39,tunruja,CVC,CV,nonword,mismatch,cam,tun,filler06,None
block39,sunsanso,CVC,CV,nonword,mismatch,cam,sun,filler07,None
block39,sutmido,CVC,CV,nonword,mismatch,cam,sut,filler08,None
block39,tituila,CV,CV,nonword,match,cam,tit,filler09,None
block40,cambena,CVC,CVC,nonword,match,cam,cam,critical,1
block40,devillo,CV,CVC,nonword,mismatch,cam,dev,filler01,None
block40,nencida,CVC,CVC,nonword,match,cam,nen,filler02,None
block40,pirijuo,CV,CVC,nonword,mismatch,cam,pir,filler03,None
block40,bercillo,CVC,CVC,nonword,match,cam,ber,filler04,None
block40,penvalla,CVC,CVC,nonword,match,cam,pen,filler05,None
block40,voltura,CVC,CVC,nonword,match,cam,vol,filler06,None
block40,dilisia,CV,CVC,nonword,mismatch,cam,dil,filler07,None
block40,febago,CV,CVC,nonword,mismatch,cam,feb,filler08,None
block40,lercuente,CVC,CVC,nonword,match,cam,ler,filler09,None
block41,culebra,CV,CV,word,match,cul,cul,critical,1
block41,pintura,CVC,CV,word,mismatch,cul,pin,filler01,None
block41,sarmiento,CVC,CV,word,mismatch,cul,sar,filler02,None
block41,verdura,CVC,CV,word,mismatch,cul,ver,filler03,None
block41,tobillo,CV,CV,word,match,cul,tob,filler04,None
block41,vertiente,CVC,CV,word,mismatch,cul,ver,filler05,None
block41,tarjeta,CVC,CV,word,mismatch,cul,tar,filler06,None
block41,fijeza,CV,CV,word,match,cul,fij,filler07,None
block41,tesoro,CV,CV,word,match,cul,tes,filler08,None
block41,teniente,CV,CV,word,match,cul,ten,filler09,None
block42,culebra,CV,CVC,word,mismatch,cul,cul,critical,1
block42,zarzuela,CVC,CVC,word,match,cul,zar,filler01,None
block42,perchero,CVC,CVC,word,match,cul,per,filler02,None
block42,perfidia,CVC,CVC,word,match,cul,per,filler03,None
block42,persiana,CVC,CVC,word,match,cul,per,filler04,None
block42,barbilla,CVC,CVC,word,match,cul,bar,filler05,None
block42,viraje,CV,CVC,word,mismatch,cul,vir,filler06,None
block42,redada,CV,CVC,word,mismatch,cul,red,filler07,None
block42,naranjo,CV,CVC,word,mismatch,cul,nar,filler08,None
block42,navaja,CV,CVC,word,mismatch,cul,nav,filler09,None
block43,culpable,CVC,CV,word,mismatch,cul,cul,critical,1
block43,pimiento,CV,CV,word,match,cul,pim,filler01,None
block43,sarmiento,CVC,CV,word,mismatch,cul,sar,filler02,None
block43,verdura,CVC,CV,word,mismatch,cul,ver,filler03,None
block43,tobillo,CV,CV,word,match,cul,tob,filler04,None
block43,vertiente,CVC,CV,word,mismatch,cul,ver,filler05,None
block43,tarjeta,CVC,CV,word,mismatch,cul,tar,filler06,None
block43,fijeza,CV,CV,word,match,cul,fij,filler07,None
block43,tesoro,CV,CV,word,match,cul,tes,filler08,None
block43,teniente,CV,CV,word,match,cul,ten,filler09,None
block44,culpable,CVC,CVC,word,match,cul,cul,critical,1
block44,zarzuela,CVC,CVC,word,match,cul,zar,filler01,None
block44,perchero,CVC,CVC,word,match,cul,per,filler02,None
block44,nevera,CV,CVC,word,mismatch,cul,nev,filler03,None
block44,persiana,CVC,CVC,word,match,cul,per,filler04,None
