,Word,transcription,corrAns,sylStruc,initialSylStress,wordStatus,source,freq_WPM,DerivedWord,Condition,counter,numRevealed,masking,Length,PrimeCalc,Prime,matching
145,laftor,laf.ˈtoɾ,4,CVC,no,nonword,Wuggy,,fac-tor,A,146.0,3.0,######,6.0,laf###,laf###,match
146,pistal,pis.ˈtal,4,CVC,no,nonword,Wuggy,,por-tal,A,147.0,3.0,######,6.0,pis###,pis###,match
147,calbún,kal.ˈβũn,4,CVC,no,nonword,Wuggy,,car-bón,A,148.0,3.0,######,6.0,cal###,cal###,match
148,contís,kõn.ˈtis,4,CVC,no,nonword,Wuggy,,cor-tés,A,149.0,3.0,######,6.0,con###,con###,match
149,deslún,dɛs̬.ˈlũn,4,CVC,no,nonword,Wuggy,,des-ván,A,150.0,3.0,######,6.0,des###,des###,match
150,bompún,bõm.ˈpũn,4,CVC,no,nonword,Wuggy,,bom-bón,A,151.0,2.0,######,6.0,bo####,bo####,mismatch
151,jezmún,xɛs̬.ˈmũn,4,CVC,no,nonword,Wuggy,,jaz-mín,A,152.0,2.0,######,6.0,je####,je####,mismatch
152,dilfún,dil.ˈfũn,4,CVC,no,nonword,Wuggy,,del-fín,A,153.0,2.0,######,6.0,di####,di####,mismatch
153,halfún,al.ˈfũn,4,CVC,no,nonword,Wuggy,,hal-cón,A,154.0,2.0,######,6.0,ha####,ha####,mismatch
154,mistel,mis.ˈtɛl,4,CVC,no,nonword,Wuggy,,pas-tel,A,155.0,2.0,######,6.0,mi####,mi####,mismatch
155,pulpún,pul.ˈpũn,4,CVC,no,nonword,Wuggy,,pul-món,A,156.0,2.0,######,6.0,pu####,pu####,mismatch
156,salbún,sal.ˈβũn,4,CVC,no,nonword,Wuggy,,sal-món,A,157.0,2.0,######,6.0,sa####,sa####,mismatch
157,rultún,rul.ˈtũn,4,CVC,no,nonword,Wuggy,,sul-tán,A,158.0,2.0,######,6.0,ru####,ru####,mismatch
158,taptil,tap̚.ˈtil,4,CVC,no,nonword,Wuggy,,tex-til,A,159.0,2.0,######,6.0,ta####,ta####,mismatch
159,volgún,bol.ˈɣũn,4,CVC,no,nonword,Wuggy,,vol-cán,A,160.0,2.0,######,6.0,vo####,vo####,mismatch
160,densos,ˈdɛ̃n.sos,1,CVC,yes,word,Alameda & Cuentos 1995,0.5528846153846154,,A,161.0,3.0,######,6.0,den###,den###,match
161,mástil,ˈmas.til,1,CVC,yes,word,Alameda & Cuentos 1995,1.7788461538461535,,A,162.0,3.0,######,6.0,más###,más###,match
162,bandos,ˈbãn.dos,1,CVC,yes,word,Alameda & Cuentos 1995,2.2596153846153846,,A,163.0,3.0,######,6.0,ban###,ban###,match
163,perlas,ˈpɛɾ.las,1,CVC,yes,word,Alameda & Cuentos 1995,3.7259615384615374,,A,164.0,3.0,######,6.0,per###,per###,match
164,cascos,ˈkas.kos,1,CVC,yes,word,Alameda & Cuentos 1995,3.629807692307692,,A,165.0,3.0,######,6.0,cas###,cas###,match
165,bastan,ˈbas.tãn,1,CVC,yes,word,Alameda & Cuentos 1995,0.7932692307692307,,A,166.0,3.0,######,6.0,bas###,bas###,match
166,culpas,ˈkul.pas,1,CVC,yes,word,Alameda & Cuentos 1995,4.855769230769232,,A,167.0,3.0,######,6.0,cul###,cul###,match
167,santos,ˈsãn.tos,1,CVC,yes,word,Alameda & Cuentos 1995,13.798076923076925,,A,168.0,3.0,######,6.0,san###,san###,match
168,persas,ˈpɛɾ.sas,1,CVC,yes,word,Alameda & Cuentos 1995,1.2019230769230769,,A,169.0,3.0,######,6.0,per###,per###,match
169,portas,ˈpoɾ.tas,1,CVC,yes,word,Alameda & Cuentos 1995,2.836538461538461,,A,170.0,3.0,######,6.0,por###,por###,match
170,cargas,ˈkaɾ.ɣas,1,CVC,yes,word,Alameda & Cuentos 1995,6.7548076923076925,,A,171.0,2.0,######,6.0,ca####,ca####,mismatch
171,martes,ˈmaɾ.tes,1,CVC,yes,word,Alameda & Cuentos 1995,33.197115384615394,,A,172.0,2.0,######,6.0,ma####,ma####,mismatch
172,cursos,ˈkuɾ.sos,1,CVC,yes,word,Alameda & Cuentos 1995,3.8461538461538463,,A,173.0,2.0,######,6.0,cu####,cu####,mismatch
173,tándem,ˈtãn.dɛ̃m,1,CVC,yes,word,Alameda & Cuentos 1995,0.14423076923076922,,A,174.0,2.0,######,6.0,tá####,tá####,mismatch
174,malvas,ˈmal.βas,1,CVC,yes,word,Alameda & Cuentos 1995,0.07211538461538461,,A,175.0,2.0,######,6.0,ma####,ma####,mismatch
175,cardos,ˈkaɾ.ðos,1,CVC,yes,word,Alameda & Cuentos 1995,0.3125,,A,176.0,2.0,######,6.0,ca####,ca####,mismatch
176,mangos,ˈmãn.ɡos,1,CVC,yes,word,Alameda & Cuentos 1995,4.278846153846153,,A,177.0,2.0,######,6.0,ma####,ma####,mismatch
177,carnes,ˈkaɾ.nes,1,CVC,yes,word,Alameda & Cuentos 1995,2.5961538461538463,,A,178.0,2.0,######,6.0,ca####,ca####,mismatch
178,cantos,ˈkãn.tos,1,CVC,yes,word,Alameda & Cuentos 1995,1.1057692307692308,,A,179.0,2.0,######,6.0,ca####,ca####,mismatch
179,palmos,ˈpal.mos,1,CVC,yes,word,Alameda & Cuentos 1995,0.048076923076923066,,A,180.0,2.0,######,6.0,pa####,pa####,mismatch
180,salsas,ˈsal.sas,1,CVC,yes,word,Alameda & Cuentos 1995,0.9615384615384616,,A,181.0,3.0,######,6.0,sal###,sal###,match
181,carpas,ˈkaɾ.pas,1,CVC,yes,word,Alameda & Cuentos 1995,0.9375,,A,182.0,3.0,######,6.0,car###,car###,match
182,polvos,ˈpol.βos,1,CVC,yes,word,Alameda & Cuentos 1995,1.3942307692307692,,A,183.0,3.0,######,6.0,pol###,pol###,match
183,sendos,ˈsɛ̃n.dos,1,CVC,yes,word,Alameda & Cuentos 1995,0.07211538461538461,,A,184.0,3.0,######,6.0,sen###,sen###,match
184,purgas,ˈpuɾ.ɣas,1,CVC,yes,word,Alameda & Cuentos 1995,0.21634615384615385,,A,185.0,3.0,######,6.0,pur###,pur###,match
