,word,word_freq,word_initial_syl,In_SegExperiment,meaning,Notes,Delete
514,tocino,8.846153846153848,CV,8.0,bacon,,Keep
515,tomate,9.903846153846152,CV,0.0,tomato,,Keep
516,tomillo,1.78,CV,0.0,thyme,tomillo lex freq. is from LEXESP in NIM,Keep
517,tonada,0.5048076923076923,CV,0.0,tune,,Keep
518,topacio,0.048076923076923066,CV,8.0,topaz,,Keep
519,toquilla,0.53,CV,0.0,shawl,toquilla lex freq. is from LEXESP in NIM,Keep
520,torija,1.776,CV,8.0,french toast,torija lex freq. is from LEXESP in NIM,Keep
521,tornillo,3.125,CVC,8.0,screw,,Keep
522,torpedo,2.043269230769231,CVC,0.0,torpedo,,Keep
523,torpeza,0.673076923076923,CVC,8.0,clumsiness,,Keep
524,torrente,5.144230769230768,CVC,0.0,torrent,,Keep
525,tortazo,0.048076923076923066,CVC,8.0,slap,,Keep
526,tortilla,6.971153846153847,CVC,0.0,tortilla,,Keep
527,tortuga,10.504807692307693,CVC,8.0,turtle,,Keep
528,toxina,3.0769230769230766,CV,0.0,toxin,,Keep
529,tufillo,2.309,CV,8.0,whiff (smell,tufillo lex freq. is from LEXESP in NIM,Keep
530,tumbona,0.711,CVC,0.0,deckchair,tumbona lex freq. is from LEXESP in NIM,Keep
531,tumulto,0.7451923076923077,CV,8.0,uproar,,Keep
532,tungsteno,0.71,CVC,8.0,tungsten,tungsteno lex freq. is from LEXESP in NIM,Keep
533,turbante,2.019230769230769,CVC,4.0,turban,,Keep
534,turismo,2.7884615384615383,CV,0.0,tourism,,Keep
535,turquía,2.4759615384615383,CVC,0.0,Turkey,,Keep
536,tutora,3.629807692307692,CV,0.0,tutor,,Keep
537,vagancia,0.3365384615384615,CV,0.0,laziness,,Keep
538,vagina,14.663461538461537,CV,0.0,vagina,,Keep
539,vaguada,0.71,CV,0.0,streambed,vaguada lex freq. is from LEXESP in NIM,Keep
540,vajilla,3.0528846153846154,CV,0.0,dish set,,Keep
541,valija,3.1730769230769234,CV,0.0,suitcase,,Keep
542,vampira,0.4807692307692307,CVC,0.0,vampire,,Keep
543,vampiro,17.8125,CVC,0.0,vampire,,Keep
544,vaquilla,0.14423076923076922,CV,4.0,heifer,,Keep
